,train_error,train_loss,test_error,test_loss
0,53.646,1.3887749910354614,40.24,1.1456855535507202
1,40.348,1.1524899005889893,33.43,0.9412800669670105
2,35.996,1.116836428642273,31.99,0.8332348465919495
3,33.106,0.9529514908790588,29.02,0.8433423042297363
4,31.432,1.0283246040344238,27.92,0.8708536028862
5,30.472,0.9695654511451721,27.19,0.7286382913589478
6,29.128,0.9261946678161621,26.41,0.8458025455474854
7,28.35,0.635796070098877,25.34,0.7510403990745544
8,27.628,0.781485915184021,25.39,0.684425413608551
9,26.99,0.7781410813331604,25.16,0.6576229333877563
10,26.5,0.8787487149238586,24.56,0.6455448269844055
11,25.924,0.8374407887458801,24.57,0.7751106023788452
12,25.508,0.4498387575149536,25.12,0.7399479150772095
13,25.222,0.8566426634788513,26.09,0.6974723935127258
14,24.648,0.5665925741195679,25.69,0.6748636364936829
15,24.368,0.7925935387611389,22.98,0.6547104120254517
16,24.264,0.8445099592208862,22.87,0.7247060537338257
17,23.69,0.4850681722164154,23.34,0.7317482233047485
18,23.686,0.5524932146072388,23.35,0.6783730983734131
19,23.2,0.8537721037864685,22.12,0.6959410309791565
20,23.064,0.6568686962127686,22.83,0.7066328525543213
21,22.366,0.5352419018745422,22.91,0.754045844078064
22,22.604,0.6516052484512329,22.23,0.737699031829834
23,22.47,0.5012122392654419,22.29,0.6813023090362549
24,22.052,0.6472657918930054,21.71,0.7039527893066406
25,22.008,0.8825582265853882,21.56,0.632645845413208
26,22.078,0.4926629960536957,21.52,0.6197066307067871
27,21.508,0.43887051939964294,22.2,0.7024533748626709
28,21.4,0.513913631439209,20.92,0.7223921418190002
29,21.486,0.6514418125152588,21.56,0.5879774689674377
30,21.604,0.7417295575141907,21.38,0.6001237630844116
31,21.26,0.5830587148666382,20.97,0.6221553683280945
32,21.294,0.5993719100952148,21.02,0.7169399857521057
33,21.34,0.7726120948791504,21.74,0.6291608214378357
34,21.156,0.5833455324172974,21.17,0.6061689853668213
35,20.79,0.4256414771080017,20.43,0.6672576069831848
36,20.616,0.59434574842453,20.79,0.6972711086273193
37,20.518,0.6562206745147705,20.45,0.7182559967041016
38,20.548,0.5845420956611633,20.22,0.6827491521835327
39,20.546,0.5021250247955322,20.43,0.5749698877334595
40,20.196,0.5477057099342346,20.12,0.6474269032478333
41,20.112,0.7251537442207336,20.51,0.6412708759307861
42,20.212,0.6200981736183167,20.96,0.6588374972343445
43,20.068,0.4816763699054718,19.89,0.6384976506233215
44,19.962,0.7500777244567871,21.21,0.7695338726043701
45,19.848,0.48087379336357117,20.12,0.6130130887031555
46,18.84,0.46445971727371216,19.59,0.6759433746337891
47,18.406,0.5510724782943726,19.28,0.6566710472106934
48,18.462,0.4662364721298218,18.96,0.6490411162376404
49,18.266,0.35220327973365784,19.12,0.6754660606384277
50,18.122,0.4136498272418976,18.97,0.6736646890640259
51,17.966,0.44219475984573364,19.4,0.613900363445282
52,17.912,0.45735445618629456,18.96,0.633918046951294
53,17.97,0.4217981994152069,18.93,0.6322986483573914
54,17.97,0.37547966837882996,19.13,0.6213428974151611
55,17.998,0.5580971837043762,18.91,0.6380370855331421
56,17.9,0.4427175223827362,19.02,0.6414636969566345
57,17.85,0.4492749273777008,20.03,0.6878215074539185
58,17.93,0.6845495104789734,18.82,0.6600543260574341
59,17.7,0.5783320069313049,19.32,0.662170946598053
60,17.818,0.5253171324729919,19.01,0.62123703956604
61,17.214,0.5244052410125732,18.74,0.6256168484687805
62,17.17,0.42777541279792786,18.45,0.6661903858184814
63,17.218,0.49842822551727295,18.45,0.6047900915145874
64,16.912,0.5098936557769775,18.79,0.6244603395462036
65,17.106,0.6184312105178833,18.41,0.5921249985694885
66,17.216,0.3179781436920166,18.41,0.5900901556015015
67,16.852,0.43513450026512146,18.03,0.603328287601471
68,16.87,0.49076151847839355,18.57,0.6416313052177429
69,17.0,0.3804081678390503,18.4,0.5934393405914307
70,16.756,0.5281038880348206,18.48,0.5989910364151001
71,16.742,0.4496356248855591,18.26,0.5723786354064941
72,16.67,0.4008858799934387,18.13,0.5870726704597473
73,16.712,0.49655601382255554,18.03,0.5797489285469055
74,16.79,0.6463583111763,18.71,0.5669181942939758
75,16.728,0.4869520664215088,18.1,0.628096342086792
76,16.598,0.4330456256866455,18.0,0.6057407259941101
77,16.86,0.43283575773239136,18.09,0.5646533966064453
78,16.616,0.6978511214256287,18.33,0.5827987790107727
79,16.642,0.376559853553772,17.72,0.6214925050735474
